AreaCode,AreaName,MethodCode,TravelMethod,Observation,PercentOfArea,cx,cy,pop,households,popDen,deprivation,deprivation4
E07000092,Rushmoor,1,Work mainly at or from home,15301,15.34,486069,153516,99758,39303,2554.9,19223,84
E07000093,Test Valley,1,Work mainly at or from home,23856,18.28,434314,136669,130488,54708,207.9,24247,53
E07000094,Winchester,1,Work mainly at or from home,26249,20.6,454712,125708,127448,51715,192.8,21562,56
E07000095,Broxbourne,1,Work mainly at or from home,14218,14.36,534904,204646,99005,39849,1924.9,21324,136
E07000096,Dacorum,1,Work mainly at or from home,30226,19.49,500758,209858,155082,63412,729.8,29215,142
E07000098,Hertsmere,1,Work mainly at or from home,21051,19.52,518976,199022,107822,42682,1065.9,20541,76
E07000099,North Hertfordshire,1,Work mainly at or from home,28689,21.54,524291,230523,133211,56732,354.9,25501,83
E07000102,Three Rivers,1,Work mainly at or from home,19608,20.91,506561,196949,93774,36858,1055.8,16466,81
E07000103,Watford,1,Work mainly at or from home,17899,17.51,510556,197803,102244,39628,4772.2,19577,107
E07000105,Ashford,1,Work mainly at or from home,19120,14.4,596857,139969,132752,53583,228.6,26799,105
E07000106,Canterbury,1,Work mainly at or from home,20109,12.77,616375,158359,157431,63792,509.9,33622,157
E07000107,Dartford,1,Work mainly at or from home,18217,15.6,556785,172676,116756,45696,1605.3,21850,99
E07000108,Dover,1,Work mainly at or from home,12291,10.56,629815,151044,116407,50548,369.2,27726,127
E07000109,Gravesham,1,Work mainly at or from home,13037,12.2,566746,170115,106899,41724,1079.9,22889,142
E07000110,Maidstone,1,Work mainly at or from home,26842,15.27,580248,151563,175778,71208,446.9,34505,156
E07000111,Sevenoaks,1,Work mainly at or from home,23775,19.73,551567,155211,120516,49013,326.4,22216,65
E07000112,Folkestone and Hythe,1,Work mainly at or from home,13770,12.55,610024,132599,109754,48338,307.5,26865,159
E07000113,Swale,1,Work mainly at or from home,17587,11.59,595988,164044,151678,60495,406.2,33683,168
E07000114,Thanet,1,Work mainly at or from home,14408,10.25,632674,166985,140585,62200,1356.9,36604,256
E07000115,Tonbridge and Malling,1,Work mainly at or from home,23812,18.01,564511,155282,132196,53573,550.6,24692,63
E07000116,Tunbridge Wells,1,Work mainly at or from home,23633,20.5,570254,137789,115311,48223,348,21579,104
E07000117,Burnley,1,Work mainly at or from home,6738,7.12,385506,431414,94649,39872,855,23567,142
E07000118,Chorley,1,Work mainly at or from home,16580,14.08,357265,418497,117731,50132,580.6,23792,46
E07000119,Fylde,1,Work mainly at or from home,11361,13.96,339324,432384,81380,37606,491.2,18496,64
E07000120,Hyndburn,1,Work mainly at or from home,6309,7.67,374414,429238,82236,34790,1126.6,20024,100
E07000121,Lancaster,1,Work mainly at or from home,15430,10.8,353328,463919,142932,59978,252.1,30953,124
E07000122,Pendle,1,Work mainly at or from home,7461,7.79,387886,441045,95753,38066,565.4,21886,104
E07000123,Preston,1,Work mainly at or from home,16614,11.24,354185,435253,147835,59607,1039,31822,159
E07000124,Ribble Valley,1,Work mainly at or from home,9005,14.63,370849,445761,61558,26747,105.6,11074,27
E07000125,Rossendale,1,Work mainly at or from home,8036,11.34,382473,421988,70876,30561,513.4,15895,58
E07000126,South Ribble,1,Work mainly at or from home,15731,14.17,353203,425975,111042,48586,981.4,23127,55
E07000127,West Lancashire,1,Work mainly at or from home,13497,11.49,341717,412911,117427,48533,338.8,24894,67
E07000128,Wyre,1,Work mainly at or from home,12479,11.15,344008,445536,111949,50767,396.7,27401,88
E07000129,Blaby,1,Work mainly at or from home,15526,15.08,452852,297375,102933,42575,788.9,19743,26
E07000130,Charnwood,1,Work mainly at or from home,25638,13.94,457739,315833,183978,73785,659.2,34714,77
E07000131,Harborough,1,Work mainly at or from home,17474,17.9,467383,293977,97631,40413,165,17023,28
E07000132,Hinckley and Bosworth,1,Work mainly at or from home,16666,14.67,441354,302271,113640,49446,382.2,24024,53
E07000133,Melton,1,Work mainly at or from home,7261,14.03,477226,322729,51751,22599,107.5,10608,25
E07000134,North West Leicestershire,1,Work mainly at or from home,14874,14.21,440239,317453,104706,44973,374.8,21795,52
E07000135,Oadby and Wigston,1,Work mainly at or from home,7477,12.95,461524,299185,57753,22617,2454.9,11506,37
E07000136,Boston,1,Work mainly at or from home,3558,5.05,532926,343714,70503,29404,193.7,17390,83
E07000137,East Lindsey,1,Work mainly at or from home,10993,7.73,535540,374440,142292,64754,80.5,38997,175
E07000138,Lincoln,1,Work mainly at or from home,9451,9.1,496573,370718,103813,42507,2908.9,23313,122
E07000139,North Kesteven,1,Work mainly at or from home,15406,13.05,504210,354897,118075,50989,128,24338,36
